method,path,operation_id,terraform_kind,terraform_name,write_mode,target_release,status,notes
GET,/domain/{domain},getDomainInfo,resource-read;data-source,easydns_domain; easydns_zone (compatibility),n/a,v0.3.0,complete,Domain data source and easydns_domain read; easydns_zone remains as a deprecated compatibility surface
DELETE,/domain/{domain},deleteDomain,resource-delete,easydns_domain,n/a,v0.3.0,complete,"Guarded by provider registration opt-in and resource deletion_protection; EasyDNS may answer 200 and keep reporting the domain, which is surfaced rather than treated as deleted"
PUT,/domains/add/{domain},createDomain,resource-create,easydns_domain,n/a,v0.3.0,complete,"DNS-only and guarded registration modes; every service level is invoiced and dns_only is refused on lite, which the provider rejects during planning"
GET,/domains/regstatus,getRegStatus,resource-read;data-source,easydns_domain_registration_settings; easydns_domain_registration_statuses,n/a,v0.3.0,complete,Observed shape nests the domain map under data.domains beside a user string; supports_reglock is omitted and auto_renew_card_id can be false. Decoding accepts that plus the three shapes the pinned contract suggested
POST,/domains/regstatus,setRegStatus,resource-update,easydns_domain_registration_settings,n/a,v0.3.0,complete,"Body is the domain-keyed object from the contract example, not the array its schema describes, which EasyDNS refuses with HTTP 406; delete stops management and does not alter the remote policy"
POST,/domains/primary_ns/{domain},setPrimaryNS,action,easydns_set_primary_nameserver,n/a,v1.0.0,complete,Imperative state transition is issued exactly once; ambiguous outcomes require operator verification
GET,/domains/list/{user},listUserDomains,data-source,easydns_domains,n/a,v0.3.0,complete,Entries are numerically keyed siblings of user rather than a documented index array; empty user resolved through /user because the path rejects a placeholder
GET,/domains/glue/{domain},getDomainGlue,resource-read;data-source,easydns_glue_record; easydns_glue_records,n/a,v0.3.0,complete,"Backs easydns_glue_records and the glue resource read, sorted by host"
PUT,/domains/glue/{domain},createGlue,resource-create,easydns_glue_record,n/a,v0.3.0,complete,Requires at least one IPv4 or IPv6 address and reconciles by reading the collection
POST,/domains/glue/{domain},updateGlue,resource-update,easydns_glue_record,n/a,v0.3.0,complete,Replaces address information for a host and polls until the addresses match
DELETE,/domains/glue/{domain}/{host},deleteGlue,resource-delete,easydns_glue_record,n/a,v0.3.0,complete,"Registry refusal while the host is still referenced is surfaced, never retried"
GET,/domains/glue/{domain}/{host}/status,checkRegistryGlue,resource-read,easydns_glue_record,n/a,v0.3.0,complete,Exposed as the computed registry_configured attribute; a read failure warns rather than failing the apply
